labels,Recall,Precision
GMC Canyon Extended Cab 2012,0.7879,0.963
Geo Metro Convertible 1993,0.8537,1.0
HUMMER H3T Crew Cab 2010,0.9667,0.8056
HUMMER H2 SUT Crew Cab 2009,0.814,1.0
Honda Odyssey Minivan 2012,0.9333,0.8936
Honda Odyssey Minivan 2007,0.9024,1.0
Honda Accord Coupe 2012,0.9107,1.0
Honda Accord Sedan 2012,0.9565,0.88
Hyundai Veloster Hatchback 2012,0.9667,0.9355
Hyundai Santa Fe SUV 2012,0.8222,0.9737
Hyundai Tucson SUV 2012,0.9688,0.9688
Hyundai Veracruz SUV 2012,0.9412,0.6667
Hyundai Sonata Hybrid Sedan 2012,0.9697,0.9697
Hyundai Elantra Sedan 2007,0.9444,0.9444
Hyundai Accent Sedan 2012,0.9722,0.875
Hyundai Genesis Sedan 2012,0.9574,0.9
Hyundai Sonata Sedan 2012,0.8824,0.9677
Hyundai Elantra Touring Hatchback 2012,0.9512,1.0
Hyundai Azera Sedan 2012,0.8936,0.9545
Infiniti G Coupe IPL 2012,0.9615,0.9259
Infiniti QX56 SUV 2011,0.9574,1.0
Isuzu Ascender SUV 2008,0.9524,0.8696
Jaguar XK XKR 2012,0.9375,0.8571
Jeep Patriot SUV 2012,0.9375,0.9375
Jeep Wrangler SUV 2012,1.0,1.0
Jeep Liberty SUV 2012,0.925,0.9487
Jeep Grand Cherokee SUV 2012,0.925,0.7551
Jeep Compass SUV 2012,0.8667,0.9512
Lamborghini Reventon Coupe 2008,0.9811,1.0
Lamborghini Aventador Coupe 2012,0.925,0.9737
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.8919,0.9706
Lamborghini Diablo Coupe 2001,0.9057,1.0
Land Rover Range Rover SUV 2012,0.9556,0.9348
Land Rover LR2 SUV 2012,0.9167,0.9778
Lincoln Town Car Sedan 2011,0.9773,1.0
MINI Cooper Roadster Convertible 2012,0.9767,0.9767
Maybach Landaulet Convertible 2012,0.9714,0.8718
Mazda Tribute SUV 2011,0.9412,0.9412
McLaren MP4-12C Coupe 2012,0.9535,0.8367
Mercedes-Benz 300-Class Convertible 1993,1.0,0.8864
Mercedes-Benz C-Class Sedan 2012,0.9388,0.9583
Mercedes-Benz SL-Class Coupe 2009,0.9394,0.9688
Mercedes-Benz E-Class Sedan 2012,0.9024,0.9737
Mercedes-Benz S-Class Sedan 2012,0.9608,0.9608
Mercedes-Benz Sprinter Van 2012,0.881,0.8605
Mitsubishi Lancer Sedan 2012,0.9091,1.0
Nissan Leaf Hatchback 2012,0.9756,0.9756
Nissan NV Passenger Van 2012,0.9487,0.9024
Nissan Juke Hatchback 2012,0.9535,0.9535
Nissan 240SX Coupe 1998,0.9744,0.8837
Plymouth Neon Coupe 1999,0.9722,0.9459
Porsche Panamera Sedan 2012,0.9643,0.9
Ram C/V Cargo Van Minivan 2012,0.8,0.8571
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.9286,0.9512
Rolls-Royce Ghost Sedan 2012,0.8667,0.8966
Rolls-Royce Phantom Sedan 2012,0.8824,0.9375
Scion xD Hatchback 2012,0.9762,1.0
Spyker C8 Convertible 2009,0.8,0.8889
Spyker C8 Coupe 2009,0.8491,0.8333
Suzuki Aerio Sedan 2007,0.8529,1.0
Suzuki Kizashi Sedan 2012,0.9091,0.9804
Suzuki SX4 Hatchback 2012,0.95,0.8636
Suzuki SX4 Sedan 2012,0.8333,0.7143
Tesla Model S Sedan 2012,0.9643,0.9643
Toyota Sequoia SUV 2012,0.8718,0.8947
Toyota Camry Sedan 2012,1.0,0.8333
Toyota Corolla Sedan 2012,0.9231,1.0
Toyota 4Runner SUV 2012,0.9706,0.9706
Volkswagen Golf Hatchback 2012,0.9512,1.0
Volkswagen Golf Hatchback 1991,0.9444,0.9714
Volkswagen Beetle Hatchback 2012,0.9459,1.0
Volvo C30 Hatchback 2012,0.9688,1.0
Volvo 240 Sedan 1993,0.9636,1.0
Volvo XC90 SUV 2007,0.9318,0.9762
smart fortwo Convertible 2012,0.9444,1.0
